date,code,close,adjustflag,turn,tradestatus,pctChg,isST
2023-07-06,sh.603786,67.7100000000,2,0.736900,1,1.210800,0
2023-07-07,sh.603786,67.4500000000,2,0.495400,1,-0.384000,0
2023-07-10,sh.603786,73.0000000000,2,1.002300,1,8.228300,0
2023-07-11,sh.603786,76.2000000000,2,1.394600,1,4.383600,0
2023-07-12,sh.603786,76.0000000000,2,1.353600,1,-0.262500,0
2023-07-13,sh.603786,73.4500000000,2,0.909800,1,-3.355300,0
2023-07-14,sh.603786,73.2700000000,2,0.652000,1,-0.245100,0
2023-07-17,sh.603786,73.1000000000,2,0.532800,1,-0.232000,0
2023-07-18,sh.603786,76.1800000000,2,0.768900,1,4.213400,0
2023-07-19,sh.603786,77.3500000000,2,0.581000,1,1.535800,0
2023-07-20,sh.603786,75.1600000000,2,0.321100,1,-2.831300,0
2023-07-21,sh.603786,76.0000000000,2,0.444700,1,1.117600,0
2023-07-24,sh.603786,74.6100000000,2,0.343400,1,-1.828900,0
2023-07-25,sh.603786,76.5500000000,2,0.500000,1,2.600200,0
2023-07-26,sh.603786,76.0000000000,2,0.184500,1,-0.718500,0
2023-07-27,sh.603786,81.1800000000,2,1.481300,1,6.815800,0
2023-07-28,sh.603786,80.8000000000,2,1.111300,1,-0.468100,0
2023-07-31,sh.603786,81.0000000000,2,0.677500,1,0.247500,0
2023-08-01,sh.603786,78.7000000000,2,0.461000,1,-2.839500,0
2023-08-02,sh.603786,79.0000000000,2,0.246100,1,0.381200,0
2023-08-03,sh.603786,75.9800000000,2,0.735100,1,-3.822800,0
2023-08-04,sh.603786,76.8000000000,2,0.921500,1,1.079200,0
2023-08-07,sh.603786,79.6000000000,2,0.709000,1,3.645800,0
2023-08-08,sh.603786,81.9800000000,2,0.375700,1,2.989900,0
2023-08-09,sh.603786,82.1800000000,2,0.217000,1,0.244000,0
2023-08-10,sh.603786,82.4400000000,2,0.161200,1,0.316400,0
2023-08-11,sh.603786,81.5500000000,2,0.331000,1,-1.079600,0
2023-08-14,sh.603786,79.0000000000,2,0.841200,1,-3.126900,0
2023-08-15,sh.603786,76.0000000000,2,0.288400,1,-3.797500,0
2023-08-16,sh.603786,75.4600000000,2,0.220900,1,-0.710500,0
2023-08-17,sh.603786,77.1500000000,2,0.490300,1,2.239600,0
2023-08-18,sh.603786,78.0100000000,2,0.272900,1,1.114700,0
2023-08-21,sh.603786,75.2000000000,2,0.340100,1,-3.602100,0
2023-08-22,sh.603786,77.4900000000,2,0.307900,1,3.045200,0
2023-08-23,sh.603786,75.3600000000,2,0.162200,1,-2.748700,0
2023-08-24,sh.603786,74.6700000000,2,0.197700,1,-0.915600,0
2023-08-25,sh.603786,74.0000000000,2,0.116600,1,-0.897300,0
2023-08-28,sh.603786,74.4500000000,2,0.236600,1,0.608100,0
2023-08-29,sh.603786,80.0100000000,2,0.732300,1,7.468100,0
2023-08-30,sh.603786,79.6000000000,2,0.428300,1,-0.512400,0
2023-08-31,sh.603786,78.5800000000,2,0.171300,1,-1.281400,0
2023-09-01,sh.603786,79.0000000000,2,0.131500,1,0.534500,0
2023-09-04,sh.603786,76.6300000000,2,0.423100,1,-3.000000,0
2023-09-05,sh.603786,77.7300000000,2,0.286600,1,1.435500,0
2023-09-06,sh.603786,77.8000000000,2,0.076400,1,0.090100,0
2023-09-07,sh.603786,76.8000000000,2,0.112000,1,-1.285300,0
2023-09-08,sh.603786,76.6800000000,2,0.218800,1,-0.156300,0
2023-09-11,sh.603786,77.5000000000,2,0.191000,1,1.069400,0
2023-09-12,sh.603786,76.3500000000,2,0.294500,1,-1.483900,0
2023-09-13,sh.603786,76.0000000000,2,0.292600,1,-0.458400,0
2023-09-14,sh.603786,72.9500000000,2,0.534200,1,-4.013200,0
2023-09-15,sh.603786,72.5400000000,2,0.146500,1,-0.562000,0
2023-09-18,sh.603786,74.2000000000,2,0.236600,1,2.288400,0
2023-09-19,sh.603786,74.0100000000,2,0.161400,1,-0.256100,0
2023-09-20,sh.603786,71.6200000000,2,0.411200,1,-3.229300,0
2023-09-21,sh.603786,71.0500000000,2,0.259800,1,-0.795900,0
2023-09-22,sh.603786,72.2000000000,2,0.220900,1,1.618600,0
2023-09-25,sh.603786,72.3000000000,2,0.194900,1,0.138500,0
2023-09-26,sh.603786,71.9400000000,2,0.126700,1,-0.497900,0
2023-09-27,sh.603786,71.9100000000,2,0.201000,1,-0.041700,0
2023-09-28,sh.603786,73.1900000000,2,0.172600,1,1.780000,0
2023-10-09,sh.603786,74.9200000000,2,0.329700,1,2.363700,0
2023-10-10,sh.603786,73.4600000000,2,0.137900,1,-1.948700,0
2023-10-11,sh.603786,70.5200000000,2,0.400900,1,-4.002200,0
2023-10-12,sh.603786,70.9600000000,2,0.194400,1,0.623900,0
2023-10-13,sh.603786,70.5000000000,2,0.133400,1,-0.648300,0
2023-10-16,sh.603786,70.5300000000,2,0.215200,1,0.042600,0
2023-10-17,sh.603786,69.9100000000,2,0.152500,1,-0.879100,0
2023-10-18,sh.603786,70.2500000000,2,0.110500,1,0.486300,0
2023-10-19,sh.603786,69.4500000000,2,0.078000,1,-1.138800,0
2023-10-20,sh.603786,68.6700000000,2,0.097900,1,-1.123100,0
2023-10-23,sh.603786,67.0600000000,2,0.161100,1,-2.344500,0
2023-10-24,sh.603786,68.0700000000,2,0.140000,1,1.506100,0
2023-10-25,sh.603786,68.0600000000,2,0.148000,1,-0.014700,0
2023-10-26,sh.603786,69.7700000000,2,0.185400,1,2.512500,0
2023-10-27,sh.603786,68.2900000000,2,0.182400,1,-2.121300,0
